runtime_minutes,voltage_V,capacity_percent
0.0,0.000,31.9
1.0,3.463,35.4
2.0,3.457,34.5
3.0,3.450,33.7
4.0,3.454,34.3
5.0,3.448,33.5
6.0,3.444,33.0
7.0,3.440,32.6
8.0,3.439,32.5
9.0,3.435,31.8
10.0,3.433,31.6
11.0,3.430,31.2
12.0,3.426,30.7
13.0,3.424,30.5
14.0,3.421,30.0
15.0,3.421,30.0
16.0,3.417,29.5
17.0,3.415,29.2
18.0,3.412,28.8
19.0,3.406,28.1
20.0,3.405,27.9
21.0,3.402,27.5
22.0,3.398,27.0
23.0,3.396,26.8
24.0,3.392,26.3
25.0,3.393,26.4
26.0,3.392,26.4
27.0,3.388,25.8
28.0,3.386,25.8
29.0,3.385,25.4
30.0,3.383,25.1
31.0,3.382,25.1
32.0,3.382,25.1
33.0,3.379,24.6
34.0,3.378,24.5
35.0,3.379,24.5
36.0,3.378,24.5
37.0,3.375,24.3
38.0,3.373,23.9
39.0,3.374,24.0
40.0,3.372,23.8
41.0,3.373,23.8
42.0,3.371,23.6
43.0,3.368,23.2
44.0,3.369,23.4
45.0,3.368,23.2
46.0,3.365,22.8
47.0,3.363,22.6
48.0,3.362,22.5
49.0,3.358,22.1
50.0,3.357,22.0
51.0,3.356,21.8
52.0,3.358,22.1
53.0,3.355,21.8
54.0,3.356,21.8
55.0,3.355,21.7
56.0,3.352,21.5
57.0,3.351,21.4
58.0,3.350,21.3
59.0,3.347,21.2
60.0,3.346,21.0
61.0,3.344,20.8
62.0,3.346,21.0
63.0,3.341,20.5
64.0,3.339,20.4
65.0,3.338,20.3
66.0,3.335,20.1
67.0,3.334,20.0
68.0,3.332,19.8
69.0,3.329,19.6
70.0,3.326,19.3
71.0,3.326,19.3
72.0,3.323,19.0
73.0,3.318,18.5
74.0,3.316,18.5
75.0,3.313,18.2
76.0,3.309,17.7
77.0,3.304,17.4
78.0,3.299,16.9
79.1,3.294,16.5
80.1,3.287,16.0
81.1,3.281,15.7
82.1,3.277,15.5
83.1,3.271,15.1
84.1,3.262,14.6
85.1,3.254,14.1
86.1,3.248,13.7
87.1,3.238,13.2
88.1,3.231,12.8
89.1,3.221,12.4
90.1,3.212,12.0
91.1,3.205,11.7
92.1,3.197,11.4
93.1,3.190,11.1
94.1,3.181,10.7
95.1,3.176,10.5
96.1,3.169,10.2
97.1,3.163,10.1
98.1,3.153,9.8
99.1,3.147,9.7
100.1,3.145,9.6
101.1,3.137,9.4
102.1,3.129,9.2
103.1,3.122,9.1
104.1,3.115,8.9
105.1,3.112,8.8
106.1,3.102,8.6
107.1,3.093,8.4
108.1,3.087,8.2
109.1,3.081,8.1
110.1,3.077,8.0
111.1,3.069,7.8
112.1,3.064,7.7
113.1,3.054,7.4
114.1,3.047,7.3
115.1,3.039,7.1
116.1,3.037,7.0
